name	type	units	sampling_frequency	low_cutoff	high_cutoff	status
C3	EEG	uV	256	n/a	n/a	good
C4	EEG	uV	256	n/a	n/a	good
Cz	EEG	uV	256	n/a	n/a	good
F3	EEG	uV	256	n/a	n/a	good
F4	EEG	uV	256	n/a	n/a	good
F7	EEG	uV	256	n/a	n/a	good
F8	EEG	uV	256	n/a	n/a	good
Fz	EEG	uV	256	n/a	n/a	good
Fp1	EEG	uV	256	n/a	n/a	good
Fp2	EEG	uV	256	n/a	n/a	good
Fpz	EEG	uV	256	n/a	n/a	good
A1	EEG	uV	256	n/a	n/a	good
A2	EEG	uV	256	n/a	n/a	good
O1	EEG	uV	256	n/a	n/a	good
O2	EEG	uV	256	n/a	n/a	good
Oz	EEG	uV	256	n/a	n/a	good
P3	EEG	uV	256	n/a	n/a	good
P4	EEG	uV	256	n/a	n/a	good
T5	EEG	uV	256	n/a	n/a	good
T6	EEG	uV	256	n/a	n/a	good
Pz	EEG	uV	256	n/a	n/a	good
T3	EEG	uV	256	n/a	n/a	good
T4	EEG	uV	256	n/a	n/a	good
T1	EEG	uV	256	n/a	n/a	good
T2	EEG	uV	256	n/a	n/a	good
RarmP	EEG	uV	256	n/a	n/a	good
RarmN	EEG	uV	256	n/a	n/a	good
LarmP	EEG	uV	256	n/a	n/a	good
LarmN	EEG	uV	256	n/a	n/a	good
X32	EEG	uV	256	n/a	n/a	good
ECG-LA	EEG	uV	256	n/a	n/a	good
ECG-RA	EEG	uV	256	n/a	n/a	good
ECG-LL	EEG	uV	256	n/a	n/a	good
ECG-V1	EEG	uV	256	n/a	n/a	good
ECG-V2	EEG	uV	256	n/a	n/a	good
E1	EEG	uV	256	n/a	n/a	good
E2	EEG	uV	256	n/a	n/a	good
CHIN1	EEG	uV	256	n/a	n/a	good
CHIN2	EEG	uV	256	n/a	n/a	good
CHINz	EEG	uV	256	n/a	n/a	good
DIF1P	EEG	uV	256	n/a	n/a	good
DIF1N	EEG	uV	256	n/a	n/a	good
DIF2P	EEG	uV	256	n/a	n/a	good
DIF2N	EEG	uV	256	n/a	n/a	good
DIF3P	EEG	uV	256	n/a	n/a	good
DIF3N	EEG	uV	256	n/a	n/a	good
DIF4P	EEG	uV	256	n/a	n/a	good
DIF4N	EEG	uV	256	n/a	n/a	good
DIF5P	EEG	uV	256	n/a	n/a	good
DIF5N	EEG	uV	256	n/a	n/a	good
DIF6P	EEG	uV	256	n/a	n/a	good
DIF6N	EEG	uV	256	n/a	n/a	good
DIF7P	EEG	uV	256	n/a	n/a	good
DIF7N	EEG	uV	256	n/a	n/a	good
DIF8P	EEG	uV	256	n/a	n/a	good
DIF8N	EEG	uV	256	n/a	n/a	good
DIF9P	EEG	uV	256	n/a	n/a	good
DIF9N	EEG	uV	256	n/a	n/a	good
DIF10P	EEG	uV	256	n/a	n/a	good
DIF10N	EEG	uV	256	n/a	n/a	good
RLEGP	EEG	uV	256	n/a	n/a	good
RLEGN	EEG	uV	256	n/a	n/a	good
LLEGP	EEG	uV	256	n/a	n/a	good
LLEGN	EEG	uV	256	n/a	n/a	good
Snore	EEG	uV	256	n/a	n/a	good
Flow	EEG	uV	256	n/a	n/a	good
Pressure	EEG	uV	256	n/a	n/a	good
Flow_DR	EEG	uV	256	n/a	n/a	good
Snore_DR	EEG	uV	256	n/a	n/a	good
Abdomen	EEG	uV	256	n/a	n/a	good
Chest	EEG	uV	256	n/a	n/a	good
Phase	EEG	uV	256	n/a	n/a	good
RMI	EEG	uV	256	n/a	n/a	good
RR	EEG	uV	256	n/a	n/a	good
XSum	EEG	uV	256	n/a	n/a	good
XFlow	EEG	uV	256	n/a	n/a	good
XVolume	EEG	uV	256	n/a	n/a	good
Position	EEG	uV	256	n/a	n/a	good
Elevation	EEG	uV	256	n/a	n/a	good
Activity	EEG	uV	256	n/a	n/a	good
PPG	EEG	uV	256	n/a	n/a	good
PTT	EEG	uV	256	n/a	n/a	good
Pleth	EEG	uV	256	n/a	n/a	good
DC13	EEG	uV	256	n/a	n/a	good
DC14	EEG	uV	256	n/a	n/a	good
DC15	EEG	uV	256	n/a	n/a	good
DC16	EEG	uV	256	n/a	n/a	good
DC1	EEG	uV	256	n/a	n/a	good
DC2	EEG	uV	256	n/a	n/a	good
DC3	EEG	uV	256	n/a	n/a	good
DC4	EEG	uV	256	n/a	n/a	good
DC5	EEG	uV	256	n/a	n/a	good
DC6	EEG	uV	256	n/a	n/a	good
DC7	EEG	uV	256	n/a	n/a	good
DC8	EEG	uV	256	n/a	n/a	good
DC9	EEG	uV	256	n/a	n/a	good
DC10	EEG	uV	256	n/a	n/a	good
DC11	EEG	uV	256	n/a	n/a	good
DC12	EEG	uV	256	n/a	n/a	good
TRIG	EEG	uV	256	n/a	n/a	good
SpO2	EEG	uV	256	n/a	n/a	good
PR	EEG	uV	256	n/a	n/a	good
PulseQuality	EEG	uV	256	n/a	n/a	good
